,address,type,label,n_in,n_out,n_ttl,avg_am_in,avg_am_out,avg_am_ttl,ttl_am_in,ttl_am_out,ttl_am_ttl,balance,balance_label,max_am_in,max_am_out,max_am_ttl,min_am_in,min_am_out,min_am_ttl,med_am_in,med_am_out,med_am_ttl,q1_am_in,q1_am_out,q1_am_ttl,q3_am_in,q3_am_out,q3_am_ttl,range_am_in,range_am_out,range_am_ttl,std_am_in,std_am_out,std_am_ttl,ske_am_in,ske_am_out,ske_am_ttl,kur_am_in,kur_am_out,kur_am_ttl,ske_am_in_label,ske_am_out_label,ske_am_ttl_label,kur_am_in_label,kur_am_out_label,kur_am_ttl_label,time_range_in,time_range_out,time_range_ttl,n_fre_in,n_fre_out,n_fre_ttl,am_fre_in,am_fre_out,am_fre_ttl,max_fee_to_in,n_pr80_fee_to_in,n_join_pr80_am,n_in_to_out_ratio,n_join_huge,n_join_pr80
0,17ArXsyQvuSsBQmYBCz269qcD23iUP2XeZ,GAMBLING,2,66,74,140,125078787.87878788,122260008.16216215,123588861.45714286,8255200000,9047240604,17302440604,792040604,0,1114000000,1114000000,1114000000,10000000,10000000,10000000,75000000.0,75000000.0,75000000.0,25000000.0,25000000.0,25000000.0,100000000.0,100000000.0,100000000.0,1104000000,1104000000,1104000000,188997588.18017945,180604115.82656303,184613953.732231,3.746677768211372,3.884038171342272,3.818264679530516,15.526940928450262,17.0716065153578,16.317033499333924,0,0,0,0,0,0,75356081,84337245,84337245,8.758417253678572e-07,8.774296575611404e-07,1.6600020548454007e-06,109.5492213826778,107.27455709514818,205.1577639748607,0.0004560526370496,0,134,0.8918918918918919,66,0
1,14mnsD8S4ZBngqq5qMS8YhkfXCm6J1pJJD,POOL,0,1,1,2,8034493.0,8034493.0,8034493.0,8034493,8034493,16068986,0,0,8034493,8034493,8034493,8034493,8034493,8034493,8034493.0,8034493.0,8034493.0,8034493.0,8034493.0,8034493.0,8034493.0,8034493.0,8034493.0,0,0,0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,0,0,641262,1.0,1.0,3.1188500176215026e-06,8034493.0,8034493.0,25.05837863462984,0.0,0,2,1.0,1,0
2,12HbSPp6hzkunk6LzFGXQwUqruPho6ft7E,EXCHANGE,1,18,20,38,36259376.722222224,33633439.05,34877304.2631579,652668781,672668781,1325337562,20000000,0,150000000,150000000,150000000,426987,426987,426987,22421523.5,20770857.0,21541714.0,20000000.0,15000000.0,16250000.0,44270328.0,32810984.0,44270328.0,149573013,149573013,149573013,35570104.49649685,34652114.4871146,35114432.866011016,2.022308271955117,2.152851305622165,2.0875555875221337,3.505167721827319,4.151199818924631,3.824783960639694,0,0,0,0,0,0,71334503,74265412,74265412,2.523323110557033e-07,2.693043701151217e-07,5.116783032187312e-07,9.149412325757703,9.057632118165587,17.845959866216052,0.0090188988402615,2,38,0.9,6,4
3,1MWWRGYmRobba3txyzcdwaTVVKoHf8fryJ,POOL,0,1,1,2,505091174.0,505091174.0,505091174.0,505091174,505091174,1010182348,0,0,505091174,505091174,505091174,505091174,505091174,505091174,505091174.0,505091174.0,505091174.0,505091174.0,505091174.0,505091174.0,505091174.0,505091174.0,505091174.0,0,0,0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,0,0,84513,1.0,1.0,2.3664998284287624e-05,505091174.0,505091174.0,11952.981766118824,4.162294672553503e-05,0,1,1.0,1,1
4,16qEEHuscFpubr4rcuzhMgQiMFWZw26gf4,GAMBLING,2,2,3,5,349926.0,1049950.6666666667,769940.8,699852,3149852,3849704,2450000,0,550000,2450000,2450000,149852,149852,149852,349926.0,550000.0,550000.0,249889.0,349926.0,149852.0,449963.0,1500000.0,550000.0,400148,2300148,2300148,200074.0,1003372.0504051436,858879.1610331222,0.0,0.6236983734166064,1.339702975007615,2.0,1.5,0.038595050619143,0,0,0,1,0,0,0,2348156,2348156,2.0,1.277598251564206e-06,2.1293304192736768e-06,699852.0,1.341415135962006,1.6394583664799105,0.0003092334140587,0,5,0.6666666666666666,5,0
5,1EhXLrwkGrKsaaVvMHB99BV37hQ5jNswmq,GAMBLING,2,40,73,113,1386305.55,1697195.698630137,1587146.0884955751,55452222,123895286,179347508,68443064,0,3765061,4316060,4316060,232817,135000,135000,1296154.0,1498861.0,1494432.0,994543.75,1025906.0,1004506.0,1862871.5,2046400.0,2007811.0,3532244,4181060,4181060,690572.1272485935,970852.9149933654,894326.8157862844,0.8653158162851091,1.025053735620977,1.1242215378723237,1.7482679842070563,0.7502887549827308,1.3865553787097935,0,0,0,0,0,0,13035192,12450724,16420656,3.068616097100833e-06,5.863112859942924e-06,6.88157647294968e-06,4.254039526230224,9.95084992647817,10.92206718172526,0.0071054333333333,0,110,0.547945205479452,111,3
6,1Dn5w6UohKo3xGx9nUTijvJFu2zfeGHr9K,POOL,0,1,1,2,3571038.0,3571038.0,3571038.0,3571038,3571038,7142076,0,0,3571038,3571038,3571038,3571038,3571038,3571038,3571038.0,3571038.0,3571038.0,3571038.0,3571038.0,3571038.0,3571038.0,3571038.0,3571038.0,0,0,0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,0,0,92382,1.0,1.0,2.164923902924812e-05,3571038.0,3571038.0,77.31025524452815,0.0,0,0,1.0,1,0
7,14vjWdL7eyZiLMAsY27FyoSzZwJZvavRKM,POOL,0,1,1,2,3664072.0,3664072.0,3664072.0,3664072,3664072,7328144,0,0,3664072,3664072,3664072,3664072,3664072,3664072,3664072.0,3664072.0,3664072.0,3664072.0,3664072.0,3664072.0,3664072.0,3664072.0,3664072.0,0,0,0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,0,0,365634,1.0,1.0,5.469950825142082e-06,3664072.0,3664072.0,20.04229365978,0.0,0,0,1.0,1,0
8,176biLw8B7mEP4GexSCfZ7ATtgeWTZGTk4,POOL,0,1,1,2,3222765.0,3222765.0,3222765.0,3222765,3222765,6445530,0,0,3222765,3222765,3222765,3222765,3222765,3222765,3222765.0,3222765.0,3222765.0,3222765.0,3222765.0,3222765.0,3222765.0,3222765.0,3222765.0,0,0,0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,0,0,308935,1.0,1.0,6.473853723275123e-06,3222765.0,3222765.0,20.86370919449075,1.858722436300044e-05,0,0,1.0,1,1
9,1Q4UM1vYvwmWgENBTqpsNjK4aF8p7FQRRt,POOL,0,1,1,2,1001283.0,1001283.0,1001283.0,1001283,1001283,2002566,0,0,1001283,1001283,1001283,1001283,1001283,1001283,1001283.0,1001283.0,1001283.0,1001283.0,1001283.0,1001283.0,1001283.0,1001283.0,1001283.0,0,0,0,0.0,0.0,0.0,,,,,,,1,1,1,1,1,1,0,0,638685,1.0,1.0,3.1314341185404385e-06,1001283.0,1001283.0,3.135451748514526,2.276466892495744e-05,0,1,1.0,2,1
